customer_id,full_name,address_line,city_name,province_name,country_name
24,"Carlos Vega","9171 Lakeview Drive",Calgary,Alberta,Canada
213,"Ronald Andrews","3921 Sunset Boulevard",Calgary,Alberta,Canada
238,"Jacqueline Brown","4397 Highland Street Apt. 763",Calgary,Alberta,Canada
279,"Jesse Morgan","6566 Hillcrest Road",Calgary,Alberta,Canada
349,"Stacie Sullivan","5482 Hillcrest Drive Apt. 140",Calgary,Alberta,Canada
455,"Jenny Fields","7104 Maple Boulevard",Calgary,Alberta,Canada
733,"Joshua Short","981 Chestnut Avenue Suite 945",Calgary,Alberta,Canada
858,"Anna Payne","2028 Oak Drive Suite 559",Calgary,Alberta,Canada
1156,"Matthew Thomas","4004 Cedar Road",Calgary,Alberta,Canada
1550,"Dustin Downs","819 Evergreen Way Unit 301",Calgary,Alberta,Canada
1585,"Gary Moore","2641 Willow Road Apt. 246",Calgary,Alberta,Canada
1949,"Diana Knight","8259 Riverside Way",Calgary,Alberta,Canada
1952,"Katherine Bennett","9352 Evergreen Crescent Unit 440",Calgary,Alberta,Canada
2176,"Brian Cook","5749 Lakeview Street",Calgary,Alberta,Canada
2526,"Tammy Clark","5632 Meadow Street",Calgary,Alberta,Canada
2589,"Nina Rodriguez","8728 Meadow Avenue",Calgary,Alberta,Canada
2669,"Maria Ingram","6397 Park Drive",Calgary,Alberta,Canada
2694,"Crystal Garza","4760 Elm Drive",Calgary,Alberta,Canada
2916,"Jorge Hoover","1012 Birch Crescent",Calgary,Alberta,Canada
2945,"Jacob Woodard","948 Pine Avenue Apt. 84",Calgary,Alberta,Canada
3075,"Tina Fox","8906 Oak Way",Calgary,Alberta,Canada
3136,"Jeanette Horton","3328 Cedar Lane",Calgary,Alberta,Canada
3177,"Victoria Mckee","5725 Pine Lane Suite 294",Calgary,Alberta,Canada
3388,"Gregory Chavez","793 Hillcrest Avenue Apt. 439",Calgary,Alberta,Canada
3427,"Jessica Williams","2654 Magnolia Road",Calgary,Alberta,Canada
